time,aurora_name,wb2_name,level,kind,n_nonfinite,expected_shape,got_shape
2022-01-11T18:00:00,z,geopotential,850,nonfinite,1,721x1440,721x1440
2022-02-05T00:00:00,z,geopotential,850,nonfinite,2,721x1440,721x1440
2022-02-22T00:00:00,z,geopotential,850,nonfinite,2,721x1440,721x1440
2022-02-28T00:00:00,z,geopotential,850,nonfinite,2,721x1440,721x1440
2022-03-10T06:00:00,z,geopotential,850,nonfinite,4,721x1440,721x1440
2022-03-13T06:00:00,z,geopotential,850,nonfinite,6,721x1440,721x1440
2022-03-23T12:00:00,z,geopotential,850,nonfinite,5,721x1440,721x1440
2022-04-06T06:00:00,z,geopotential,850,nonfinite,6,721x1440,721x1440
2022-04-19T18:00:00,z,geopotential,850,nonfinite,2,721x1440,721x1440
2022-05-29T00:00:00,z,geopotential,850,nonfinite,1,721x1440,721x1440
2022-05-31T18:00:00,z,geopotential,850,nonfinite,7,721x1440,721x1440
2022-06-30T06:00:00,z,geopotential,850,nonfinite,5,721x1440,721x1440
2022-07-11T00:00:00,z,geopotential,850,nonfinite,4,721x1440,721x1440
2022-07-18T00:00:00,z,geopotential,850,nonfinite,6,721x1440,721x1440
2022-08-08T00:00:00,z,geopotential,850,nonfinite,3,721x1440,721x1440
2022-08-17T00:00:00,z,geopotential,850,nonfinite,2,721x1440,721x1440
2022-08-19T06:00:00,z,geopotential,850,nonfinite,9,721x1440,721x1440
2022-08-22T06:00:00,z,geopotential,850,nonfinite,25,721x1440,721x1440
2022-10-16T00:00:00,z,geopotential,850,nonfinite,11,721x1440,721x1440
2022-10-24T00:00:00,z,geopotential,850,nonfinite,6,721x1440,721x1440
2022-11-03T18:00:00,z,geopotential,850,nonfinite,20,721x1440,721x1440
2022-11-17T00:00:00,z,geopotential,850,nonfinite,7,721x1440,721x1440
2022-11-18T12:00:00,z,geopotential,850,nonfinite,5,721x1440,721x1440
2022-12-06T00:00:00,z,geopotential,850,nonfinite,2,721x1440,721x1440
2022-12-06T18:00:00,z,geopotential,850,nonfinite,1,721x1440,721x1440
2022-12-07T12:00:00,z,geopotential,850,nonfinite,3,721x1440,721x1440
